DRUNK	Hey! Was die Holle Sie denken Sie sind ... DRUNK Hey! what the hell you think you're ...
GIRL	From beneath you, it devours ...
DAWN	Buffy - Buffy - BUFFY!
BUFFY	I heard screaming.
DAWN	That was you.
BUFFY	And ... there was a girl.
DAWN	That would be me.
BUFFY	No, it was ...
DAWN	... Just a dream. It was just a dream, right?
BUFFY	Vision, maybe.
DAWN	That explains the screaming. And I'm guessing we can rule out any visions involving winning the lottery ...
BUFFY	"From beneath you, it devours." That's all she could say. And then they ... There's more like her, Dawn. Somewhere. Out there.
DAWN	Okay! Vision break. It's all too cryptic to figure out in one night anyway. Let's go downstairs and I'll make you a nice cup of tea.
BUFFY	I hate tea.
DAWN	Me, too. It's the gesture. Come on.
BUFFY	"From beneath you ..."
SPIKE	Now is not the time, you know it, I know it, making them understand - a totally different matter.
DAWN	'Cause, seriously, just speaking for all the people who are me in the car? We're very excited.
BUFFY	Well, I'm glad for all of you then.
DAWN	It's just so cool. You're coming to school with me! You'll be like, right there, the whole time. You understand you can never talk to me, look at me, or hang out anywhere near my friends, right?
BUFFY	You've been very specific.
XANDER	I forgot high school's unwritten rules of hallway etiquette. Of course, no one ever explained them to me, they'd just stuff me in a locker 'til I drew my own conclusions.
DAWN	I don't mean to sound all "Cordelia Chase Part Two" about it...
XANDER	Appreciated...
DAWN	It's just, I don't want my big sister humiliating me five days a week.
BUFFY	Three. Three days a week. I'm only doing this community counseling gig part time, so if you want to be embarrassed Tuesdays and Thursdays? You're on your own, Missy.
XANDER	But if you're looking for a tutor? (raising his hand) Years in the field. Just saying.
BUFFY	I doubt you'll see me at all, assuming I even half-understand my fuzzy job description ...
DAWN	It's not fuzzy. You're what, dealing with "troubled" kids?
XANDER	At a spanking new Hellmouth High. Please. Outside of drugs, violence, unwanted pregnancy and the unleashed hordes of Armageddon that come pouring out the school's foundation every now and then ... what kind of "trouble" could these kids have?
XANDER	You're sounding a little less than Gung-ho about the job, there, Buff.
BUFFY	Huh? Oh, it's not the job of it, it's ... anyone else find it a little weird that Principal Wood just - hired me? Just like that?
DAWN	Just like what?
XANDER	Guy gives you a job... not exactly a thrilling tale of horror.
BUFFY	Just seems, I don't know ... convenient.
XANDER	Maybe. Doesn't make it bad. Those kids got damn lucky, having a Slayer and a friend on campus there for 'em. Hope they appreciate it. I know I did.
XANDER	Yes and no. With a heavy emphasis on the yes, but at least I was dating then.
BUFFY	You could be dating now.
DAWN	Yeah, you're a guy with a car and a job and a tie.
BUFFY	All hard to resist.
XANDER	The leaving her at the altar thing?
BUFFY	Yeah, that one. That's not something you just bounce right back from.
XANDER	Sure it is. She bounced back to being a Vengeance Demon and I bounced back to being a dateless nerd.
DAWN	Do you guys talk at all?
XANDER	I've seen her at The Bronze a couple times... guess there's a lot of scorned women there making Vengeance wishes on their exes.
BUFFY	That's where I go to get my scorn on...
DAWN	You guys should really ease up with the whole "dating demons" thing.
BUFFY	Hello, you were the one having the Smooch-athon with teen-vampire last Halloween.
DAWN	See, this is why I don't want you talking to my friends.
WOOD	We'll sort of feel our way along. Some students will be sent to you and I'm hoping others will start to come on their own.
BUFFY	What if they don't? Should I panic?
WOOD	You might be surprised, Buffy. You're the youngest and, uh ... ... least stuffy member of this faculty. I think the students'll want to talk to you, and when they do, don't evaluate them, just listen. They need to know they have someone here who's on their side.
BUFFY	Can I give detention?
WOOD	Okay by me. A little authority can be a wonderful thing. Just remember that while you're here to help, you're not their friend. Trust me , open that door, these students will eat you alive.
BUFFY	You heard about Principal Flutie, right?
BUFFY	Forget it.
WOOD	Okay, then. I think that's pretty much it; you got your phone, your desk, and I've imparted all the wisdom I can for one morning.
BUFFY	And for that, I thank you.
WOOD	Oh, there'll be more. Everything happens on a case by case basis around here anyway, and I've got bags more wisdom stashed away in my office.
BUFFY	Right. I'll just ... come to you with questions when they come to me with questions.
WOOD	Great. Relax, there's only three things these kids understand: the boot, the bat, and the bastinada. Bad joke. It's the "bastinada." No one ever knows what that thing is.
BUFFY	Wooden rod they use to smack the soles of your feet in Turkish prisons, but if you use the right wood, it makes an awesome billy club.
WOOD	Think you're qonna fit in just fine. Is there something else?
BUFFY	Just one thing. I was curious, and don't think I'm not grateful or anything, but ... why is it exactly I ...
WOOD	... Have this job?
BUFFY	I still haven't finished college.
WOOD	I know.
BUFFY	So was it my sparkling personality, or maybe you've just enjoyed my work at the Double Meat Palace ...
WOOD	I'm a vegetarian. The students need someone who understands them; I need someone who understands students. Why? Something about you I don't know - and maybe should?
BUFFY	Nothing I can think of.
WOOD	If you'll excuse me. First catch of the day. Be in my office if you need me.
BUFFY	Thanks. I'm gonna look around, get to know the place... Make sure it's all...
BUFFY	Spike?
NANCY	Rocky! Come on, baby, do your business, I want to get home.
XANDER	Uh ... Hello.
NANCY	... And whatever it was, it was big. And strong. Stronger than... I mean I don't know how it's possible. You hear things, in this town, living in Sunnydale, but no one actually believes them - you'd have to be crazy, and ... ...And you all think I'm crazy, don't you?
XANDER	I don't.
BUFFY	We've seen things too, Nancy.
DAWN	We're probably the only ones in Sunnydale who would believe you.
XANDER	And we're gonna do something about this. It's your lucky night. Considering, you know, your dog just got all ate up and stuff. Can I freshen up that tea for ya?
NANCY	No, I'm good.
DAWN	So you say this thing just came up out of the ground? No signs, or warning of any kind?
NANCY	Just this kind of rumbling sound. You know, like before an earthquake?
BUFFY	"... From beneath you it devours."
NANCY	What?
BUFFY	Nothing.
DAWN	Nothing good ...
XANDER	It's sounding monster-ific, all right.
DAWN	Round up the gang?
XANDER	Good thinking. Except ... This is the gang
BUFFY	Just us. Right.
XANDER	About as assembled as the Avengers can be these days.
BUFFY	We're going to get into this. And if your dog's alive, we'll find him. I promise. The only thing we need ...
SPIKE	Fortunately ... you've got me.
SPIKE	Buffy.
BUFFY	Spike.
NANCY	Who is that?
DAWN	He's... it's Buffy's...
XANDER	Ex.
NANCY	And somehow I'm getting it's more complicated than that.
XANDER	Always is.
BUFFY	You've changed.
SPIKE	I have.
BUFFY	Nice clothes. Better hair. And not so much with the crazy, I like it.
SPIKE	Easy. If you think I like putting myself here, surrounded by people who don't particularly like me.
XANDER	If you're uncomfortable, we could make you leave.
SPIKE	I'll be quick. We need to talk. Want to do that here, or privately?
XANDER	I'm thinking here - in the company of good friends and pointy weapons.
BUFFY	You said something about "quick?"
SPIKE	I did. For a start and for the record - last you saw me, I was a mess - out of my head - admitted. Last week, living in the school basement ... well you saw me.
DAWN	You did?
XANDER	Damn it, Buffy
BUFFY	Wait. Guys. Yes, I saw Spike ... I just ...
DAWN	What - forgot to mention it?
BUFFY	Things in that basement were insane. I saved your life. We'll discuss this later.
DAWN	Sure.
XANDER	Whatever you want.
DAWN	Right, 'cause that seems to be the only time you let us in, Buffy. Whenever you want.
